라하, 55, 165
파아, 62, 156
바사, 40, 173
파바, 88, 195
마파, 50, 188
타카, 94, 160
라가, 58, 162
바차, 81, 159
하자, 95, 149
파자, 53, 140
자자, 57, 194
가라, 42, 192
자자, 47, 172
하타, 98, 158
사타, 48, 164
바나, 40, 146
라나, 75, 157
파나, 70, 197
타파, 41, 159
아차, 87, 152
사마, 88, 185
사라, 64, 141
바차, 54, 171
아다, 97, 155
카타, 82, 141
라카, 93, 197
라아, 63, 186
사차, 99, 140
타바, 92, 145
차아, 73, 197
자라, 60, 159
라파, 53, 166
사가, 58, 166
나라, 87, 160
차자, 65, 187
카다, 99, 148
차차, 62, 143
다다, 74, 166
파카, 42, 184
타차, 44, 189
마사, 57, 163
카파, 86, 166
나다, 99, 187
가자, 82, 179
아마, 62, 193
다자, 57, 182
바차, 71, 194
하차, 44, 183
자타, 96, 157
가가, 49, 173
가타, 85, 191
차바, 76, 147
차차, 57, 190
다아, 49, 157
하차, 87, 148
사사, 96, 168
자사, 60, 191
카마, 74, 141
다파, 77, 184
바타, 86, 182
마바, 40, 197
라사, 41, 171
차가, 47, 150
아라, 98, 156
나다, 61, 172
파라, 63, 142
나카, 64, 184
마다, 81, 159
다가, 73, 146
다다, 55, 166
카마, 70, 171
차바, 53, 150
가하, 58, 149
가카, 99, 181
가다, 48, 197
하라, 61, 164
나파, 90, 141
하차, 89, 145
가아, 85, 147
아타, 88, 158
마카, 40, 164
라자, 91, 176
나사, 48, 142
바카, 93, 186
가가, 64, 160
차아, 43, 142
마다, 77, 157
나카, 63, 161
나타, 93, 171
하다, 67, 182
자카, 41, 170
아타, 86, 163
하파, 40, 181
가바, 46, 152
하아, 81, 159
나하, 70, 179
아카, 44, 188
아가, 43, 160
바아, 84, 173
아하, 99, 196
라카, 43, 199
파바, 71, 165
아바, 43, 160
타나, 56, 142
가가, 41, 155
마라, 70, 162
아다, 58, 199
마마, 61, 197
가나, 49, 184
가자, 94, 145
라카, 86, 161
가사, 45, 172
마사, 73, 153
나카, 42, 168
다가, 99, 188
가차, 56, 172
사차, 89, 184
타하, 41, 152
하타, 63, 191
바하, 97, 143
아라, 63, 154
마아, 54, 145
사사, 95, 190
자라, 88, 198
아하, 41, 178
자다, 99, 199
바아, 64, 190
마라, 80, 183
사카, 49, 141
파자, 67, 147
나자, 97, 163
바나, 82, 188
타타, 61, 153
사타, 88, 170
아사, 99, 163
타자, 84, 176
파라, 97, 146
가자, 93, 171
자타, 53, 167
타차, 55, 165
차카, 90, 159
가바, 52, 174
마마, 63, 185
파라, 68, 197
카마, 55, 152
다아, 73, 165
사파, 87, 152
하파, 82, 198
사하, 58, 143
파파, 81, 146
가타, 87, 173
마바, 99, 160
다마, 96, 167
아바, 84, 169
라아, 50, 182
사하, 83, 179
가카, 68, 155
다사, 82, 158
아카, 94, 171
바카, 48, 152
라아, 58, 176
파나, 85, 163
하가, 55, 174
차카, 90, 173
파바, 93, 148
사사, 70, 168
바타, 79, 142
타가, 86, 190
바파, 46, 188
다가, 75, 169
아바, 71, 189
자하, 79, 175
파사, 85, 181
자마, 93, 187
사나, 70, 186
라가, 82, 168
하차, 46, 180
파라, 97, 173
자차, 82, 165
하타, 43, 161
차가, 94, 140
파타, 56, 180
하아, 93, 158
타자, 54, 177
아아, 51, 144
바아, 78, 158
카타, 41, 179
라마, 92, 172
카자, 48, 168
카차, 59, 175
가파, 58, 179
하차, 67, 186
파타, 65, 146
파타, 64, 199
차라, 64, 174
사나, 99, 183
차마, 94, 178
아사, 77, 150
다라, 94, 165
라아, 91, 170
라자, 71, 185
가아, 85, 160
바카, 96, 140
자바, 66, 185
다마, 57, 162
다자, 85, 149
아나, 85, 192
차타, 51, 167
하파, 77, 142
차라, 58, 159
아파, 74, 143
타나, 53, 163
아카, 99, 174
파자, 44, 148
자타, 88, 178
차라, 51, 184
타차, 69, 189
아차, 53, 190
자마, 60, 165
마타, 60, 152
라다, 90, 147
가타, 75, 199
아하, 77, 199
자바, 64, 156
사차, 79, 149
하바, 57, 168
아하, 40, 143
하사, 58, 161
바차, 49, 151
아다, 88, 150
라카, 50, 198
라다, 79, 176
마마, 48, 155
파타, 87, 155
가사, 85, 158
카자, 75, 180
사아, 50, 173
사파, 63, 184
나자, 90, 173
차아, 99, 146
하바, 83, 196
라하, 80, 172
카라, 76, 198
타사, 86, 190
아타, 99, 140
파아, 85, 195
마다, 67, 147
카나, 80, 153
다하, 43, 166
차라, 57, 176
가파, 89, 142
마카, 58, 199
하파, 84, 168
타사, 54, 193
바카, 53, 191
자타, 98, 170
사카, 62, 153
라아, 47, 178
라사, 87, 196
자사, 89, 143
카차, 61, 195
라다, 57, 189
아아, 65, 149
차파, 74, 168
차사, 57, 142
자타, 54, 170
라바, 80, 153
차아, 60, 199
자아, 62, 175
하마, 84, 174
파나, 86, 164
파나, 88, 148
마라, 41, 141
카마, 96, 191
파가, 54, 154
차나, 94, 185
카사, 83, 196
아사, 54, 178
라가, 59, 149
차카, 55, 195
마사, 52, 151
라자, 92, 157
라가, 74, 157
가라, 72, 166
마바, 64, 153
다나, 52, 141
차타, 90, 186
마아, 64, 181
바차, 73, 171
타라, 71, 152
파바, 93, 152
다아, 91, 158
자바, 44, 147
마아, 75, 170
타카, 74, 160
나차, 58, 149
라다, 43, 195
사아, 94, 195
자다, 44, 156
마바, 84, 193
하가, 58, 150
파파, 90, 160
가라, 86, 168
바다, 81, 187
자아, 57, 158
하타, 40, 187
가나, 95, 186
라사, 55, 179
파라, 66, 197
사라, 45, 182
나자, 94, 155
나사, 43, 155
사자, 55, 151
자나, 64, 198
아마, 76, 172
바하, 90, 190
아바, 54, 178
아타, 86, 186
가하, 59, 152
타타, 71, 184
가마, 87, 196
아다, 46, 171
타가, 66, 152
다나, 55, 171
하아, 95, 173
라마, 51, 182
타자, 48, 158
자자, 88, 154
다다, 41, 153
바타, 50, 199
파아, 70, 157
마차, 47, 153
다하, 41, 154
타나, 42, 156
바파, 54, 171
라자, 57, 162
마사, 58, 167
자바, 86, 153
바사, 69, 167
다타, 52, 197
사사, 92, 173
마카, 72, 169
나카, 51, 196
나아, 58, 149
아자, 41, 150
마사, 46, 141
자파, 93, 169
다파, 47, 147
타마, 58, 165
바하, 66, 196
타아, 78, 188
파가, 93, 156
마나, 43, 181
라아, 89, 148
하차, 83, 159
나마, 42, 167
사카, 85, 175
자차, 60, 181
차하, 53, 174
하타, 62, 149
다차, 82, 190
차바, 68, 183
카아, 85, 192
